ATCOCode,Easting,Northing,Lon,Lat,CommonName,Identifier,Direction,Street,Landmark,NatGazID,NatGazLocality,StopType,"Stop type, name",Icon colour
1290BOB20435,410786,91557,-1.84857,50.72353,Boscombe Gardens,,SW,Christchurch Road,,E0035366,Boscombe (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20436,410672,91208,-1.85019,50.72039,Putting Green,,E,East Overcliff Drive,,E0035366,Boscombe (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20437,410656,91189,-1.85042,50.72022,Putting Green,,W,East Overcliff Drive,,E0035366,Boscombe (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20438,410405,91126,-1.85398,50.71966,Toft Steps,,W,East Overcliff Drive,,E0035366,Boscombe (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20439,410407,91138,-1.85395,50.71976,Toft Steps,,E,East Overcliff Drive,,E0035366,Boscombe (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20440,410113,91066,-1.85812,50.71912,Cottonwood Hotel,,W,East Overcliff Drive,,E0035366,Boscombe (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20441,410084,91076,-1.85853,50.71921,Cottonwood Hotel,,E,East Overcliffe Drive,,E0035366,Boscombe (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20442,409622,90981,-1.86507,50.71837,East Cliff Lift,,E,East Overcliff Drive,,N0077769,Lansdowne (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20443,409596,90966,-1.86544,50.71823,East Cliff Lift,,W,East Overcliff Drive,,N0077769,Lansdowne (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20444,409255,90893,-1.87027,50.71758,Russell Cotes Museum,,E,East Cliff Promenade,,N0077769,Lansdowne (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20445,408868,91231,-1.87575,50.72063,St Peters Church,,SW,St Peters Road,,E0057149,Bournemouth,BCT,Bus/coach stop,small_red
1290BOB20446,408877,91288,-1.87562,50.72114,Burlington Arcade,,NE,St Peters Road,,E0057149,Bournemouth,BCT,Bus/coach stop,small_red
1290BOB20447,408981,91347,-1.87414,50.72167,The Zoo and Cage,,S,Fir Vale Road,,E0057149,Bournemouth,BCT,Bus/coach stop,small_red
