1290BOA05342,-1.7947,50.7236,St Catherines Road
1290BOA05343,-1.79363,50.72558,Belle Vue Crescent
1290BOA05711,-1.82249,50.74451,Littledown Centre
1290BOA05736,-1.88205,50.71678,Kerley Road
1290BOA05737,-1.88161,50.71677,Beacon Road
1290BOA05738,-1.89243,50.72234,Midland Hotel
1290BOA05784,-1.88244,50.71954,Terrace Road
1290BOA05819,-1.87837,50.7199,Gervis Place
1290BOA05821,-1.83785,50.7261,Hawkwood Road Car Park
1290BOA05841,-1.83596,50.72758,Ashley Road
1290BOA05842,-1.86441,50.72199,Lansdowne (unilinx)
1290BOA05874,-1.87935,50.74084,Winton Banks
1290BOA05875,-1.8736,50.72255,Horseshoe Common
1290BOA05876,-1.87545,50.72125,Burlington Arcade
1290BOA05882,-1.87952,50.73932,Winton Banks
1290BOA05900,-1.82076,50.74576,The Royal Bournemouth Hospital
1290BOA05917,-1.86591,50.7226,Lansdowne
1290BOA05936,-1.88701,50.7196,Poole Hill
1290BOA05968,-1.85325,50.75172,Bournemouth School For Girls
1290BOA56550,-1.86568,50.72492,Purbeck House
1290BOA56551,-1.86639,50.72398,Purbeck House
1290BOA56561,-1.88724,50.7713,Kinson Park Road
1290BOA56562,-1.88529,50.75328,Redhill Drive
1290BOA56563,-1.879,50.76097,Pine Vale Crescent
1290BOA56568,-1.82835,50.73883,Avonbourne School
1290BOA56569,-1.86767,50.72501,Cranborne House
1290BOA56570,-1.86729,50.72456,Cranborne House
1290BOA90806,-1.81664,50.74459,Tesco
1290BOA90807,-1.88979,50.71846,Durley Chine Road
1290BOB20205,-1.79115,50.72705,Brightlands Avenue
1290BOB20206,-1.78734,50.72517,Nugent Road
1290BOB20207,-1.78658,50.72497,Nugent Road
1290BOB20208,-1.78341,50.72345,Kingsley Avenue
1290BOB20209,-1.78353,50.72333,Kingsley Avenue
1290BOB20210,-1.78142,50.7225,Broadway Shops
1290BOB20211,-1.78177,50.72251,Broadway Shops
1290BOB20213,-1.77831,50.72041,St Nicholas Church
1290BOB20214,-1.77861,50.72037,St Nicholas Church
1290BOB20215,-1.78331,50.71878,Point House Cafe
1290BOB20216,-1.78474,50.71871,Point House Cafe
1290BOB20217,-1.78385,50.71984,Hengistbury Road
1290BOB20218,-1.78349,50.71998,Hengistbury Road
1290BOB20219,-1.78252,50.721,Baring Road
1290BOB20220,-1.78208,50.72122,Baring Road
1290BOB20222,-1.79178,50.72695,Broadway
1290BOB20223,-1.79362,50.72532,Belle Vue Crescent
1290BOB20224,-1.79456,50.72341,Twynham Road
1290BOB20225,-1.7957,50.72315,Twynham Road
1290BOB20226,-1.79607,50.72443,Guild Hill Road
1290BOB20227,-1.79447,50.72588,Southlea Avenue
1290BOB20228,-1.79591,50.72202,Church Road
1290BOB20229,-1.7974,50.72178,Belle Vue Mansions
1290BOB20230,-1.79722,50.72047,Car Park
1290BOB20232,-1.79267,50.7198,Warren Edge Close
1290BOB20233,-1.7923,50.71961,Warren Edge Close
1290BOB20234,-1.78815,50.71939,Stevenson Road
1290BOB20235,-1.7878,50.71921,Stevenson Road
1290BOB20236,-1.78577,50.71925,Dalmeny Road
1290BOB20237,-1.7865,50.71977,Dalmeny Road
1290BOB20238,-1.78884,50.72082,Willdown Road
1290BOB20240,-1.78895,50.72109,Willdown Road
1290BOB20241,-1.79188,50.72139,St Catherines Road
1290BOB20242,-1.79264,50.72139,St Catherines Road
1290BOB20244,-1.79511,50.72204,Church Road
1290BOB20245,-1.79943,50.72066,Southbourne Cross Roads
1290BOB20246,-1.80473,50.72134,Marine Road
1290BOB20247,-1.8053,50.72149,Marine Road
1290BOB20248,-1.80765,50.72128,Grange Hotel
1290BOB20249,-1.80795,50.72117,Grange Hotel
1290BOB20250,-1.81061,50.72155,Stourwood Avenue
1290BOB20251,-1.81105,50.7217,Stourwood Avenuee
1290BOB20252,-1.81338,50.72151,Southwood Avenue
1290BOB20253,-1.81382,50.72167,Southwood Avenue
1290BOB20254,-1.81626,50.7218,Fishermans Walk
1290BOB20255,-1.81673,50.72174,Fishermans Walk
1290BOB20256,-1.82259,50.72183,Ravine Road
1290BOB20257,-1.82214,50.72201,Ravine Road
1290BOB20258,-1.82567,50.72194,Woodland Bowling Club
1290BOB20259,-1.82656,50.72207,Woodland Bowling Club
1290BOB20260,-1.83092,50.72167,Shelley Park
1290BOB20261,-1.83137,50.72178,Shelley Park
1290BOB20262,-1.83599,50.72193,Wollstonecraft Road
1290BOB20263,-1.83642,50.72178,Wollstonecraft Road
1290BOB20264,-1.83915,50.72222,Michelgrove Road
1290BOB20265,-1.83972,50.722,San Remo Towers
1290BOB20266,-1.84325,50.72015,Boscombe Pier
1290BOB20267,-1.84359,50.72026,Boscombe Pier
1290BOB20268,-1.8418,50.72202,Marina Court
1290BOB20269,-1.84095,50.72234,San Remo Towers
1290BOB20271,-1.84068,50.72338,Percy Road
1290BOB20272,-1.84052,50.72345,Percy Road
1290BOB20273,-1.83807,50.72616,Sainsburys Supermarket
1290BOB20297,-1.79845,50.7216,Southbourne Cross Roads
1290BOB20298,-1.79913,50.72183,Southbourne Cross Roads
1290BOB20299,-1.80235,50.72212,Avoncliffe Road
1290BOB20300,-1.80286,50.72227,Avoncliffe Road
1290BOB20301,-1.80652,50.72336,Clifton Road
1290BOB20302,-1.80669,50.7241,Tuckton Corner
1290BOB20303,-1.80782,50.72487,Tuckton Corner
1290BOB20310,-1.8381,50.72799,Boscombe Bus Station
1290BOB20312,-1.83801,50.72817,Boscombe Bus Station
1290BOB20313,-1.83791,50.72813,Boscombe Bus Station
1290BOB20314,-1.83774,50.72828,Boscombe Bus Station
1290BOB20315,-1.83958,50.72829,Sovereign Centre
1290BOB20316,-1.83879,50.72913,Centenary Way
1290BOB20317,-1.84037,50.73027,Portman Hotel
1290BOB20320,-1.83956,50.72978,Portman Hotel
1290BOB20348,-1.86127,50.73537,St Leonards Road
1290BOB20349,-1.86193,50.73566,St Leonards Road
1290BOB20350,-1.86445,50.73634,Richmond Arms
1290BOB20351,-1.86496,50.73635,Richmond Arms
1290BOB20373,-1.8847,50.72055,The Triangle
1290BOB20374,-1.88449,50.72046,The Triangle
1290BOB20375,-1.88425,50.72038,The Triangle
1290BOB20376,-1.88399,50.72027,The Triangle
1290BOB20377,-1.88378,50.72018,The Triangle
1290BOB20378,-1.88398,50.71986,The Triangle
1290BOB20379,-1.88493,50.72023,The Triangle
1290BOB20380,-1.88463,50.72027,The Triangle
1290BOB20381,-1.88438,50.7203,The Triangle
1290BOB20382,-1.88466,50.72012,The Triangle
1290BOB20383,-1.88491,50.72008,The Triangle
1290BOB20384,-1.88028,50.71918,Exeter Road
1290BOB20385,-1.87923,50.72012,Gervis Place
1290BOB20386,-1.87899,50.72008,Gervis Place
1290BOB20387,-1.87881,50.72003,Gervis Place
1290BOB20388,-1.87841,50.71992,Gervis Place
1290BOB20389,-1.87812,50.71984,Gervis Place
1290BOB20390,-1.8778,50.7198,Gervis Place
1290BOB20391,-1.87751,50.71978,Gervis Place
1290BOB20392,-1.87571,50.72004,St Peters Church
1290BOB20393,-1.87292,50.7187,Hinton Road Top
1290BOB20394,-1.87571,50.71878,Westover Road
1290BOB20396,-1.87738,50.71965,Gervis Place
